epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.085,1.64359,3.7354,1.76718,0.01409,0.66031,0.09926,0.04984,1.59093,4.48538,1.71149,0.000324561,0.000324561,0.000324561
2,460.982,1.59941,3.16625,1.73997,0.5384,0.10177,0.09744,0.04573,1.73198,4.03032,1.8767,0.000644868,0.000644868,0.000644868
3,733.005,1.62191,2.92497,1.73619,0.53119,0.15113,0.09913,0.04732,1.79297,3.97982,1.97462,0.000951975,0.000951975,0.000951975
4,1009.25,1.61677,2.78552,1.73777,0.47429,0.25661,0.10928,0.0527,1.92638,4.27469,2.12367,0.0009406,0.0009406,0.0009406
5,1284.89,1.57632,2.63569,1.67723,0.41203,0.11354,0.07723,0.02585,2.10342,5.2582,2.34048,0.0009208,0.0009208,0.0009208
6,1508.81,1.54633,2.41211,1.68225,0.33399,0.15066,0.10789,0.04589,1.85437,3.9235,1.97775,0.000901,0.000901,0.000901
7,1776.54,1.52626,2.32911,1.65553,0.39782,0.19784,0.16348,0.07449,1.96132,4.3931,2.02453,0.0008812,0.0008812,0.0008812
8,2039.57,1.50682,2.17224,1.5983,0.49065,0.18044,0.16582,0.08266,1.71146,3.51612,1.8999,0.0008614,0.0008614,0.0008614
9,2304.75,1.49612,2.15071,1.59395,0.50094,0.19435,0.1756,0.08007,1.71679,3.10974,1.8515,0.0008416,0.0008416,0.0008416
10,2571.94,1.46631,2.00879,1.6238,0.38238,0.19742,0.10236,0.04417,1.85248,3.38105,2.00208,0.0008218,0.0008218,0.0008218
11,2742.24,1.473,1.94264,1.58703,0.60241,0.16132,0.18863,0.08858,1.79914,3.18898,1.90848,0.000802,0.000802,0.000802
12,2927.78,1.38797,1.83315,1.53076,0.48527,0.18521,0.19722,0.09725,1.8388,3.03751,1.95065,0.0007822,0.0007822,0.0007822
13,3114.82,1.46513,1.82974,1.57444,0.54762,0.17601,0.18475,0.08248,1.96414,3.08359,1.99805,0.0007624,0.0007624,0.0007624
14,3303.35,1.36199,1.73075,1.49881,0.57404,0.17709,0.22581,0.10748,1.71458,2.73964,1.82316,0.0007426,0.0007426,0.0007426
15,3489.76,1.30111,1.59806,1.46701,0.52116,0.21678,0.20544,0.09685,1.91752,2.80397,1.9818,0.0007228,0.0007228,0.0007228
16,3677.34,1.29384,1.54242,1.43341,0.61924,0.161,0.19925,0.09575,1.95634,3.07218,2.07407,0.000703,0.000703,0.000703
17,3861.94,1.28262,1.53216,1.43127,0.52451,0.22651,0.2247,0.11732,1.74131,2.76837,1.83701,0.0006832,0.0006832,0.0006832
18,4059.75,1.26011,1.44883,1.43049,0.5497,0.24169,0.20723,0.10271,1.82223,2.82428,1.93419,0.0006634,0.0006634,0.0006634
19,4231.46,1.2659,1.42775,1.43528,0.48965,0.27437,0.22375,0.11794,1.75816,2.7544,1.85748,0.0006436,0.0006436,0.0006436
20,4394.02,1.19742,1.37841,1.39095,0.53306,0.28928,0.2618,0.14823,1.63218,2.47473,1.76633,0.0006238,0.0006238,0.0006238
21,4552.62,1.22329,1.36895,1.41544,0.49966,0.26372,0.20474,0.0908,1.8245,2.8071,1.96734,0.000604,0.000604,0.000604
22,4723.29,1.20424,1.34178,1.38563,0.42159,0.28639,0.24437,0.11436,1.79396,2.61591,1.89928,0.0005842,0.0005842,0.0005842
23,4884.46,1.13909,1.23663,1.33671,0.58651,0.29987,0.27981,0.13845,1.72387,2.46421,1.89629,0.0005644,0.0005644,0.0005644
24,5042.38,1.16342,1.1955,1.35594,0.46343,0.25472,0.20012,0.10919,1.6806,2.65988,1.77191,0.0005446,0.0005446,0.0005446
25,5201.77,1.11213,1.16896,1.32443,0.54254,0.23563,0.24701,0.12341,1.64385,2.64655,1.74419,0.0005248,0.0005248,0.0005248
26,5361.38,1.11635,1.15332,1.32341,0.53898,0.2767,0.2519,0.12846,1.66095,2.54692,1.85967,0.000505,0.000505,0.000505
27,5520.18,1.0909,1.15853,1.32584,0.50083,0.27019,0.26393,0.12973,1.76072,2.51327,1.87372,0.0004852,0.0004852,0.0004852
28,5679.87,1.06645,1.07249,1.27115,0.62122,0.27407,0.26872,0.1346,1.81636,2.48173,1.96305,0.0004654,0.0004654,0.0004654
29,5846.76,1.02493,1.03706,1.28409,0.60132,0.17919,0.22702,0.12159,1.79025,2.70834,1.89658,0.0004456,0.0004456,0.0004456
30,6113.43,1.03134,1.02909,1.26535,0.60741,0.28754,0.26661,0.13524,1.76656,2.57718,1.9011,0.0004258,0.0004258,0.0004258
31,6310.15,1.04192,0.99965,1.27367,0.51618,0.26421,0.22835,0.12207,1.71061,2.7496,1.84572,0.000406,0.000406,0.000406
32,6578.14,0.99768,1.0008,1.23971,0.46353,0.33497,0.26071,0.12219,1.76074,2.47773,1.89093,0.0003862,0.0003862,0.0003862
33,6844.05,1.02067,0.99859,1.25288,0.49778,0.31217,0.25397,0.12436,1.73197,2.53805,1.89903,0.0003664,0.0003664,0.0003664
34,7110.22,1.02569,0.96332,1.25853,0.55724,0.28441,0.25296,0.11917,1.87731,2.60841,1.98119,0.0003466,0.0003466,0.0003466
35,7377.57,0.95115,0.93043,1.21391,0.51985,0.313,0.25578,0.11574,1.85485,2.5895,2.0023,0.0003268,0.0003268,0.0003268
36,7568.98,0.95435,0.89821,1.22337,0.45184,0.30711,0.22574,0.11089,1.78087,2.67252,1.88047,0.000307,0.000307,0.000307
37,7734.72,0.90662,0.82626,1.18747,0.56138,0.28218,0.26433,0.13236,1.78613,2.5003,1.91549,0.0002872,0.0002872,0.0002872
